,naics,countOsm,countStatcan,osmCompleteness,population density,median income,ale_index,% non-immigrants,% not a visible minority,% postsecondary
13376,81293,1,0,inf,24677.4,47360.0,5.8816285,0.4139433551198257,0.35947712418300654,0.7407407407407407
13377,5221,2,0,inf,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13378,44611,1,1,1.0,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13379,81293,8,0,inf,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13380,522291,1,0,inf,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13381,722511,4,3,1.3333333333333333,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13382,722512,3,8,0.375,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13383,812115,1,0,inf,1760.2,30272.0,1.6892339,0.6810631229235881,0.7807308970099668,0.46511627906976744
13384,6111,2,0,inf,2624.6,30656.0,0.4645884,0.5363748458692972,0.4130702836004932,0.499383477188656
13385,81293,1,0,inf,2624.6,30656.0,0.4645884,0.5363748458692972,0.4130702836004932,0.499383477188656
13386,81293,3,0,inf,3711.0,26816.0,0.1340913,0.4756637168141593,0.38716814159292035,0.4314159292035398
13387,722511,1,0,inf,3711.0,26816.0,0.1340913,0.4756637168141593,0.38716814159292035,0.4314159292035398
13388,4411,1,1,1.0,4319.0,29632.0,1.0054469,0.5337423312883436,0.5030674846625767,0.44785276073619634
13389,8131,1,0,inf,4319.0,29632.0,1.0054469,0.5337423312883436,0.5030674846625767,0.44785276073619634
13390,81293,3,0,inf,4319.0,29632.0,1.0054469,0.5337423312883436,0.5030674846625767,0.44785276073619634
13391,532112,1,0,inf,4319.0,29632.0,1.0054469,0.5337423312883436,0.5030674846625767,0.44785276073619634
13392,4453,2,2,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13393,5221,1,3,0.3333333333333333,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13394,6111,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13395,44314,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13396,44511,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13397,44521,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13398,45112,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13399,71394,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13400,81293,12,0,inf,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13401,446191,1,1,1.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13402,452110,2,1,2.0,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13403,722512,6,5,1.2,1269.8,27328.0,1.3813689,0.31887755102040816,0.4336734693877551,0.42091836734693877
13404,491,1,0,inf,4040.7,24243.0,1.1968693,0.3401360544217687,0.22448979591836735,0.40816326530612246
